Correcto - Izquierdo: 29.086756731471162, Derecho: 73.98397069426181
Correcto - Izquierdo: 28.106027171393066, Derecho: 66.6494949974487
Correcto - Izquierdo: 27.859621266895658, Derecho: 72.34904197301421
Correcto - Izquierdo: 29.342752221563238, Derecho: 77.6439139006348
Correcto - Izquierdo: 29.164989718224486, Derecho: 71.62782863817421
Correcto - Izquierdo: 27.37190113655606, Derecho: 64.56795386675225
Correcto - Izquierdo: 27.926321251864334, Derecho: 63.07451934435062
Correcto - Izquierdo: 27.37160060823258, Derecho: 60.82451842796502
Correcto - Izquierdo: 21.54916486912019, Derecho: 57.196622469177726
Correcto - Izquierdo: 27.445312009755355, Derecho: 66.78981440375742
Correcto - Izquierdo: 28.091502546751922, Derecho: 66.11187714749866
Correcto - Izquierdo: 24.926870998609914, Derecho: 70.3680412269004
Correcto - Izquierdo: 29.390549885374988, Derecho: 70.02505644753904
